Time,Target torque,Current elbow Torque(N),Target force,Current shoulder Torque (N),EMG_1 (Bicep),EMG_2 (Tricep lateral),EMG_3 (Anterior Deltoid),EMG_4 (Medial Deltoid),EMG_5 (Posterior Deltoid),EMG_6 (Pectoralis Major),EMG_7 (Lower Trapezius),EMG_8 (Middle Trapezius),Sensor Fx,Sensor Fy,Sensor Fz,Sensor Mx,Sensor My,Sensor Mz
329.8094994,5.0,0.3276619053800012,15.0,0.09244453423499621,-3.303533541400138,-0.537087939664259,1.0432740722587228,1.9381797262644822,2.258818912010977,2.2610849156787984,2.261732345304475,2.261732345304475,-0.14531390407593292,0.1341337932750002,-0.12193284331504596,-0.14589843059495508,0.12742710361125018,-0.12861401199982042
329.810701725,5.0,0.4835590458800034,15.0,0.1078196712349957,-3.2745611413718727,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-0.10509013680723645,0.09700474827499983,-0.08818109503532201,-0.10551286285153431,0.09215451086124984,-0.09301287583138598
329.81190405,5.0,0.4835590458800034,15.0,0.1078196712349957,-3.167735573298968,-2.5224132574047573,-3.904024121101031,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-0.10509013680723645,0.09700474827499983,-0.08818109503532201,-0.10551286285153431,0.09215451086124984,-0.09301287583138598
329.813106375,5.0,0.4835590458800034,15.0,0.1078196712349957,-3.3910981990881637,-0.27245368747734705,0.23852534691651514,-2.4115416629003907,-3.319071813798662,-4.174974050765515,-5.1199045153462945,-5.296978735969328,-0.10509013680723645,0.09700474827499983,-0.08818109503532201,-0.10551286285153431,0.09215451086124984,-0.09301287583138598
329.8143081,5.0,0.4835590458800034,15.0,0.1078196712349957,-3.492420762226739,-0.2774712181686053,5.050731396170858,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,-0.10509013680723645,0.09700474827499983,-0.08818109503532201,-0.10551286285153431,0.09215451086124984,-0.09301287583138598
329.81509982,5.0,0.3946251008800026,15.0,0.10024177573499671,-3.860646284771594,-1.7702676496418797,4.262468109280799,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,-0.08672940140911975,0.08005664477499996,-0.07277460873461866,-0.08707827122598227,0.07605381253624996,-0.07676220898821214
329.81589154,5.0,0.3946251008800026,15.0,0.10024177573499671,-4.133538422570171,-2.71421314161961,-1.5820291718758812,-0.9101655455126542,1.2967412619073373,4.228963034414347,5.310358215633014,5.310358215633014,-0.08672940140911975,0.08005664477499996,-0.07277460873461866,-0.08707827122598227,0.07605381253624996,-0.07676220898821214
329.81668326,5.0,0.3946251008800026,15.0,0.10024177573499671,-0.7029901291049745,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-5.296978735969328,-0.08672940140911975,0.08005664477499996,-0.07277460873461866,-0.08707827122598227,0.07605381253624996,-0.07676220898821214
329.81747498,5.0,0.3946251008800026,15.0,0.10024177573499671,-0.3177733186384479,2.234864018185218,2.261408630491287,2.2612467730849555,2.261408630491287,2.2612467730849555,2.261408630491287,2.2612467730849555,-0.08672940140911975,0.08005664477499996,-0.07277460873461866,-0.08707827122598227,0.07605381253624996,-0.07676220898821214
329.8182659,5.0,0.3946251008800026,15.0,0.10024177573499671,-0.42621671458314225,1.4318915082034036,2.2584951972040868,2.261408630491287,2.261408630491287,2.261408630491287,2.2615704878977936,2.261408630491287,-0.08672940140911975,0.08005664477499996,-0.07277460873461866,-0.08707827122598227,0.07605381253624996,-0.07676220898821214
329.81931994999997,5.0,0.3149456118800025,15.0,0.09357273123499965,-0.6456931784910477,1.254011141604394,2.180318091641264,2.260599343461379,2.261408630491287,2.2615704878977936,2.2615704878977936,2.261408630491287,-0.10871731596009174,0.10035286077500016,-0.09122465972469679,-0.10915463236597661,0.09533521773625016,-0.0962232091168165
329.820374,5.0,0.3149456118800025,15.0,0.09357273123499965,-0.5717250803156847,1.2925329921198545,2.2536394751846163,2.2610849156787984,2.2615704878977936,2.261408630491287,2.261732345304475,2.261408630491287,-0.10871731596009174,0.10035286077500016,-0.09122465972469679,-0.10915463236597661,0.09533521773625016,-0.0962232091168165
329.82142805,5.0,0.3149456118800025,15.0,0.09357273123499965,-0.26549388679888786,2.1668839346729745,2.2620560601183635,2.261894202711332,2.2615704878977936,2.2615704878977936,2.261732345304475,2.261732345304475,-0.10871731596009174,0.10035286077500016,-0.09122465972469679,-0.10915463236597661,0.09533521773625016,-0.0962232091168165
329.8224817,5.0,0.3149456118800025,15.0,0.09357273123499965,-0.40986927785611305,1.5476190344393739,2.26221791752557,2.261894202711332,2.2615704878977936,2.261732345304475,2.2615704878977936,2.261732345304475,-0.10871731596009174,0.10035286077500016,-0.09122465972469679,-0.10915463236597661,0.09533521773625016,-0.0962232091168165
329.8233762,5.0,0.5200552078800023,15.0,0.1316758347349989,-2.9874271030592237,-0.1895834992641445,1.2802318962756025,2.0746252975903348,2.259628199031263,2.2610849156787984,2.261732345304475,2.261732345304475,-0.12856438649603133,0.11867294427500007,-0.10787832929135319,-0.12908153792614827,0.11273929706125006,-0.11378939718603778
329.8242707,5.0,0.5200552078800023,15.0,0.1316758347349989,-0.36535892935076136,1.542439619248234,2.2599519138406023,2.261732345304475,2.261894202711332,2.261894202711332,2.261732345304475,2.261732345304475,-0.12856438649603133,0.11867294427500007,-0.10787832929135319,-0.12908153792614827,0.11273929706125006,-0.11378939718603778
