Time,Target torque,Current elbow Torque(N),Target force,Current shoulder Torque (N),Bicep (EMG_1),Tricep lateral (EMG_2),Anterior Deltoid (EMG_3),Medial Deltoid (EMG_4),Posterior Deltoid (EMG_5),Pectoralis Major (EMG_6),Lower Trapezius (EMG_7),Middle Trapezius (EMG_8)
22.3185085,1.0,0.5800481395618569,1.0,0.0,2.261894202711332,2.2620560601183635,2.261894202711332,2.2620560601183635,2.2620560601183635,2.261894202711332,2.261894202711332,2.2620560601183635
22.31962195,1.0,0.5800481395618569,1.0,0.0,2.2620560601183635,2.2620560601183635,2.2620560601183635,2.2620560601183635,2.2620560601183635,2.261894202711332,2.26221791752557,2.26221791752557
22.3207351,1.0,0.897703702916349,1.0,0.0,2.2625416323405085,2.26221791752557,2.26221791752557,2.2620560601183635,2.2620560601183635,2.26221791752557,2.26221791752557,2.26221791752557
22.3217363,1.0,0.897703702916349,1.0,0.0,2.261732345304475,2.26221791752557,2.2623797749329517,2.2620560601183635,2.2620560601183635,2.2620560601183635,2.2620560601183635,2.2620560601183635
22.3227375,1.0,0.897703702916349,1.0,0.0,2.2623797749329517,2.2623797749329517,2.26221791752557,2.26221791752557,2.2623797749329517,2.2625416323405085,2.26221791752557,2.26221791752557
22.3237384,1.0,1.6695180492298256,1.0,0.0,2.2625416323405085,2.2625416323405085,2.26221791752557,2.2623797749329517,2.2623797749329517,2.2623797749329517,2.2623797749329517,2.26221791752557
22.32521625,1.0,1.6695180492298256,1.0,0.0,0.6766696689326039,1.72177695159641,2.248460038537007,2.260923058272817,2.26221791752557,2.2623797749329517,2.2623797749329517,2.2625416323405085
22.3266937,1.0,0.7385411815540444,1.0,0.0,5.310358215633014,4.32219457820568,0.22169232737443612,-3.827789201127171,-5.296978735969328,-5.095140046832712,-5.296978735969328,-5.296978735969328
22.32752365,1.0,0.7385411815540444,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,-3.502617764875559,-5.296978735969328,-5.296978735969328,-5.296978735969328
22.3283536,1.0,0.7385411815540444,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,-1.0025852084996443,-4.031082413435857,-5.296978735969328
22.32918355,1.0,0.7385411815540444,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014
22.3300131,1.0,1.2867189006702553,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014
22.3312585,1.0,1.2867189006702553,1.0,0.0,0.2827120261463082,0.4623721978270785,0.36347816562312224,0.16569017046289866,2.8709649486425413,5.177307452537013,5.310358215633014,5.310358215633014
22.3325039,1.0,1.2867189006702553,1.0,0.0,2.2607612008670106,3.47534476811893,5.310358215633014,1.3156784769444754,0.9856532153274924,2.813343466642992,-0.24947015946518403,-0.5220353503514881
22.3337489,1.0,1.669676359166349,1.0,0.0,2.261732345304475,2.2615704878977936,2.2615704878977936,2.2615704878977936,2.2615704878977936,2.261408630491287,2.2615704878977936,2.2615704878977936
22.334362525,1.0,1.669676359166349,1.0,0.0,2.261894202711332,2.261894202711332,2.261732345304475,2.261732345304475,2.261894202711332,2.261894202711332,2.261894202711332,2.261732345304475
22.33497615,1.0,1.669676359166349,1.0,0.0,2.2615704878977936,2.261732345304475,2.2620560601183635,2.261732345304475,2.2620560601183635,2.2620560601183635,2.26221791752557,2.2620560601183635
22.335589775,1.0,1.669676359166349,1.0,0.0,2.2623797749329517,2.26221791752557,2.26221791752557,2.261894202711332,2.2620560601183635,2.261894202711332,2.2620560601183635,2.2620560601183635
22.3362031,1.0,1.732399518956388,1.0,0.0,2.261894202711332,2.2620560601183635,2.26221791752557,2.261894202711332,2.261894202711332,2.2620560601183635,2.26221791752557,2.26221791752557
22.337380099999997,1.0,1.732399518956388,1.0,0.0,2.2615704878977936,2.2620560601183635,2.26221791752557,2.26221791752557,2.26221791752557,2.26221791752557,2.26221791752557,2.26221791752557
22.3385568,1.0,1.4808717327015053,1.0,0.0,0.2747810834020896,0.8422485525853454,1.7420090621749584,2.255743621373749,2.260599343461379,2.261894202711332,2.26221791752557,2.2623797749329517
22.33924693333333,1.0,1.4808717327015053,1.0,0.0,2.2623797749329517,2.2623797749329517,2.26221791752557,2.26221791752557,2.2625416323405085,2.2623797749329517,2.2623797749329517,2.2623797749329517
22.339937066666668,1.0,1.4808717327015053,1.0,0.0,2.2625416323405085,2.2625416323405085,2.2623797749329517,2.26221791752557,2.2623797749329517,2.26221791752557,2.2625416323405085,2.26221791752557
22.3406268,1.0,1.419289167393888,1.0,0.0,0.2791511946926637,-0.18035771610703932,0.6012447129105143,1.5694696937818944,2.1366166214362385,2.260275628650641,2.261894202711332,2.2623797749329517
22.3431601,1.0,1.5924935893909584,1.0,0.0,5.310358215633014,5.310358215633014,1.251745150603414,-3.5273819168614313,-5.129777932577359,-5.296978735969328,-5.296978735969328,-4.237127517964118
22.344359066666666,1.0,1.5924935893909584,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,3.3317759433666954,-3.3600216425860885,-5.207794148601784,-5.296978735969328
22.345558033333333,1.0,1.5924935893909584,1.0,0.0,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014,5.310358215633014
